hit_id,worker_id,image_url,seen,prompt,type_test,adjective0,adjective1,adjective2,adjective3,adjective4,adjective5,adjective6,adjective7,adjective8,adjective9
3F6045TU7D5N79W3WM6JA7A8H7N99X,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f1/Amazing_Spider-Man_Vol_3_1_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140316144029,True,fish,fish,agile,funny,acrobatic,red,blue,witty,wily,strong,comedic,intelligent
3CZH926SICV35ZH8N2QELD03MCP4E6,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Iron_Man_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20100309183023,False,sense,sense,metallic,sarcastic,red,metal,smart,destructive,robotic,yellow,intelligent,iron
3OWZNK3RYL6ARHZ79OMVWGP8OMN2UP,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804,True,bulbs,bulbs,elastic,charismatic,fantastic,blue,brave,older,stretchy,intelligent,inspiring,flexible
3F6045TU7D5N79W3WM6JA7A8H7N99X,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f1/Amazing_Spider-Man_Vol_3_1_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140316144029,True,fish,fish,agile,funny,acrobatic,red,blue,witty,wily,strong,comedic,intelligent
3UV0D2KX1M0VBDH4IDAK3VL3YD44FO,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719,True,accent,accent,red,,,,,,,,,
3CZH926SICV35ZH8N2QELD03MCP4E6,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Iron_Man_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20100309183023,True,perturbed,perturbed,metallic,sarcastic,red,metal,smart,destructive,robotic,yellow,intelligent,iron
3F6045TU7D5N79W3WM6JA7A8H7N99X,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f1/Amazing_Spider-Man_Vol_3_1_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140316144029,True,fresh,fresh,agile,funny,acrobatic,red,arachnid,blue,witty,wily,comedic,intelligent
3UV0D2KX1M0VBDH4IDAK3VL3YD44FO,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719,True,trust,trust,manly,red,disciplined,blue,brave,white,patriotic,american,masculine,shielded
3CZH926SICV35ZH8N2QELD03MCP4E6,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Iron_Man_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20100309183023,False,sense,sense,metallic,sarcastic,red,metal,smart,destructive,robotic,yellow,intelligent,iron
3OWZNK3RYL6ARHZ79OMVWGP8OMN2UP,AG1XA7PPOEY4Z,https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804,False,blessed,blessed,elastic,charismatic,fantastic,stretched,manly,blue,brave,brooding,intelligent,flexible
