image_url,prompt
https://vignette.wikia.nocookie.net/marveldatabase/images/f/f1/Amazing_Spider-Man_Vol_3_1_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140316144029,bepaper
https://vignette.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719,peroral
https://vignette.wikia.nocookie.net/marveldatabase/images/2/2b/Return_of_Wolverine_Vol_1_2_Dell%27Otto_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20190320201036,lapillo
https://vignette.wikia.nocookie.net/marveldatabase/images/e/e7/Iron_Man_Vol_4_6_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20100309183023,brulyie
https://vignette.wikia.nocookie.net/marveldatabase/images/b/b0/Thor_Vol_5_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20190114213830,hagbolt
https://vignette.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523101159,lisiere
https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804,estival
https://vignette.wikia.nocookie.net/marveldatabase/images/5/55/Immortal_Hulk_Vol_1_1_Crain_Variant_Textless.jpg/revision/latest/scale-to-width-down/323?cb=20180320235445,intrigo
https://vignette.wikia.nocookie.net/marveldatabase/images/d/d5/Scott_Summers_%28Earth-616%29_from_Uncanny_X-Men_Vol_5_11.png/revision/latest/scale-to-width-down/230?cb=20190210065830,exostra
https://vignette.wikia.nocookie.net/marveldatabase/images/8/88/Fantastic_Four_Vol_6_1_Human_Torch_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523100956,beaners
https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Henry_McCoy_%28Earth-616%29_from_Uncanny_Inhumans_Vol_1_1_001.png/revision/latest/scale-to-width-down/350?cb=20151031183705,plugmen
https://vignette.wikia.nocookie.net/marveldatabase/images/3/39/Fantastic_Four_Vol_6_1_Invisible_Woman_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181622,ropeman
