HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.prompt,Answer.emot0,Answer.emot1,Answer.emot2,Answer.not_seen.on,Answer.pers0,Answer.pers1,Answer.pers2,Answer.phys0,Answer.phys1,Answer.phys2,Answer.seen.on,Answer.type_test,Approve,Reject
385MDVINFCWNPHMKB97ODLWMBILJW3,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:11 PDT 2019,,,3YMTUJH0DTY8H2XZ3ZKA8JWLV18T4M,AVR45JLAQN5ZC,Submitted,Thu Apr 25 17:57:39 PDT 2019,Thu Apr 25 17:59:41 PDT 2019,Sun Apr 28 17:59:41 PDT 2019,,,,122,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/2/2b/Return_of_Wolverine_Vol_1_2_Dell%27Otto_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20190320201036,lapillo,Anger,Stoicism,Strength,FALSE,Feirce,Tenacious,Bold,Clawed,Strong,Invincible,TRUE,lapillo,,
3VW0145YLYTRK5S677114NUVDG7MJF,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:12 PDT 2019,,,3C44YUNSI27NP6NLFTCJ6DPUJBBDP9,A2Y5XC6F1BYXS3,Approved,Thu Apr 25 07:57:32 PDT 2019,Thu Apr 25 07:58:48 PDT 2019,Sun Apr 28 07:58:48 PDT 2019,,,,76,100% (87/87),100% (87/87),100% (87/87),https://vignette.wikia.nocookie.net/marveldatabase/images/b/b0/Thor_Vol_5_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20190114213830,hagbolt,excitement,awe,inspiration,FALSE,powerful,noble,strong,beared,muscular,armed,TRUE,hagbolt,,
3KG2UQJ0MJ5EOAHJEY0AE3VHW19QNA,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:12 PDT 2019,,,33OOO72IVI3BC6AEWEQSRH89NEKTCU,A2Y5XC6F1BYXS3,Approved,Thu Apr 25 08:43:38 PDT 2019,Thu Apr 25 08:45:05 PDT 2019,Sun Apr 28 08:45:05 PDT 2019,,,,87,100% (87/87),100% (87/87),100% (87/87),https://vignette.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523101159,lisiere,excitement,awe,happiness,FALSE,powerful,bold,fierce,rock-like,large,orange,TRUE,lisiere,,
3KG2UQJ0MJ5EOAHJEY0AE3VHW19QNA,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:12 PDT 2019,,,39PAAFCODNI7BFGENVLXH9WY8LWTVP,AY0INTNXKC6ZO,Approved,Wed Apr 24 13:58:24 PDT 2019,Wed Apr 24 14:00:20 PDT 2019,Sat Apr 27 14:00:20 PDT 2019,,,,116,100% (24/24),100% (24/24),100% (24/24),https://vignette.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523101159,lisiere,angry,upset,displeased,FALSE,aggressive,violent,assertive,buff,stony,strong,TRUE,lisiere,,
39I4RL8QGJYFP98AD3YK6GXGEXIH4A,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:13 PDT 2019,,,379J5II41PY2QRMNJWUWVEYVED8LE9,A2N74CHUQ5T60G,Approved,Wed Apr 24 18:17:57 PDT 2019,Wed Apr 24 18:19:24 PDT 2019,Sat Apr 27 18:19:24 PDT 2019,,,,87,100% (15/15),100% (15/15),100% (15/15),https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804,estival,thoughtful,knowing,old,FALSE,smart,wise,stretchy,creepy,old,bearded,TRUE,estival,,
39I4RL8QGJYFP98AD3YK6GXGEXIH4A,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:13 PDT 2019,,,3PH3VY7DJMFGCGPIJXFBPZGT0QCZWD,A2C1UPBEGUY9Y6,Approved,Tue Apr 23 11:36:50 PDT 2019,Tue Apr 23 11:39:25 PDT 2019,Fri Apr 26 11:39:25 PDT 2019,2019-04-26 18:40:07 UTC,,,155,100% (17/17),100% (17/17),100% (17/17),https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804,estival,Mysterious,Vengeful,Dark,FALSE,Determined,Dauntless,Pondering,Old,Elastic,Tall,TRUE,estival,,
391JB9X4ZYPMVPYOPS1D52U8S57MKE,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:16 PDT 2019,,,3A4TN5196L0L7XJJWK93DY5LCKMHC5,A2W264E55JO6V3,Approved,Wed Apr 24 19:51:37 PDT 2019,Wed Apr 24 19:52:13 PDT 2019,Sat Apr 27 19:52:13 PDT 2019,,,,36,100% (53/53),100% (53/53),100% (53/53),https://vignette.wikia.nocookie.net/marveldatabase/images/a/a9/X-Men_Red_Vol_1_7_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180522205910,nitrous,calm,cool,happy,FALSE,strong,bold,brave,slim,strong,pretty,TRUE,nitrous,,
3CZH926SICV35ZH8N2QELD03MHQE4R,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:16 PDT 2019,,,3LPW2N6LKUK5DYGOH9TUI7O1EB2U5B,A2FXYB7WSH6AYI,Approved,Wed Apr 24 20:34:18 PDT 2019,Wed Apr 24 20:35:20 PDT 2019,Sat Apr 27 20:35:20 PDT 2019,,,,62,100% (10/10),100% (10/10),100% (10/10),https://vignette.wikia.nocookie.net/marveldatabase/images/7/7e/Civil_War_II_Vol_1_3_Hawkeye_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20160312004004,clumped,fear,serious,even-levelness,TRUE,precise,confident,serious,strong,muscular,imposing,FALSE,clumped,,
3NSM4HLQNRBZR7UBUQSRIXQM1CWQQX,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:18 PDT 2019,,,3FFJ6VRIL26190ZNQMY4I94Z387I09,A2Y5XC6F1BYXS3,Approved,Thu Apr 25 08:20:29 PDT 2019,Thu Apr 25 08:21:09 PDT 2019,Sun Apr 28 08:21:09 PDT 2019,,,,40,100% (87/87),100% (87/87),100% (87/87),https://vignette.wikia.nocookie.net/marveldatabase/images/5/57/Doctor_Strange_Vol_5_10_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20181017075322,element,excitement,awe,consternation,FALSE,magical,strong,serious,caped,professional,handsome,TRUE,element,,
3EKTG13IZUKXFVG6ASDEK27NH5CMLH,373P3486EG49HTTFX6FCWH9WT0LC8T,List words that describe a character,List adjectives that describe a comic book character from an image,"character, adjectives, characterize it",$0.02 ,Tue Apr 23 08:54:12 PDT 2019,3,BatchId:235173;OriginalHitTemplateId:921587265;,3600,259200,Sat Jul 06 11:47:18 PDT 2019,,,36W0OB37HXWYFQUTOYTBOW66L20HZW,A1P97PT7OUQHU4,Approved,Tue Apr 23 12:28:04 PDT 2019,Tue Apr 23 12:29:38 PDT 2019,Fri Apr 26 12:29:38 PDT 2019,2019-04-26 19:30:07 UTC,,,94,100% (22/22),100% (22/22),100% (22/22),https://vignette.wikia.nocookie.net/marveldatabase/images/c/c1/Iceman_Vol_4_1_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20180918233359,rotaman,protection,father-like,helpful,FALSE,caring,sweet,helpful,ice,fast,strong,TRUE,rotaman,,
