hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
385MDVINFCWNPHMKB97ODLWMBILJW3,AVR45JLAQN5ZC,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2b/Return_of_Wolverine_Vol_1_2_Dell%27Otto_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20190320201036,TRUE,lapillo,lapillo,,,,bold,tenacious,,strong,invincible,clawed
3VW0145YLYTRK5S677114NUVDG7MJF,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/b/b0/Thor_Vol_5_1_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20190114213830,TRUE,hagbolt,hagbolt,,,,strong,noble,powerful,muscular,armed,
3KG2UQJ0MJ5EOAHJEY0AE3VHW19QNA,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523101159,TRUE,lisiere,lisiere,,,,fierce,bold,powerful,large,orange,
3KG2UQJ0MJ5EOAHJEY0AE3VHW19QNA,AY0INTNXKC6ZO,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523101159,TRUE,lisiere,lisiere,angry,displeased,upset,assertive,aggressive,violent,strong,stony,buff
39I4RL8QGJYFP98AD3YK6GXGEXIH4A,A2N74CHUQ5T60G,https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804,TRUE,estival,estival,old,thoughtful,knowing,wise,smart,stretchy,old,bearded,creepy
39I4RL8QGJYFP98AD3YK6GXGEXIH4A,A2C1UPBEGUY9Y6,https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Fantastic_Four_Vol_6_1_Mr._Fantastic_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180627181804,TRUE,estival,estival,mysterious,vengeful,dark,dauntless,pondering,determined,tall,elastic,old
391JB9X4ZYPMVPYOPS1D52U8S57MKE,A2W264E55JO6V3,https://vignette.wikia.nocookie.net/marveldatabase/images/a/a9/X-Men_Red_Vol_1_7_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180522205910,TRUE,nitrous,nitrous,calm,happy,cool,strong,brave,bold,slim,strong,pretty
3CZH926SICV35ZH8N2QELD03MHQE4R,A2FXYB7WSH6AYI,https://vignette.wikia.nocookie.net/marveldatabase/images/7/7e/Civil_War_II_Vol_1_3_Hawkeye_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20160312004004,FALSE,clumped,clumped,serious,,,precise,serious,confident,muscular,strong,imposing
3NSM4HLQNRBZR7UBUQSRIXQM1CWQQX,A2Y5XC6F1BYXS3,https://vignette.wikia.nocookie.net/marveldatabase/images/5/57/Doctor_Strange_Vol_5_10_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20181017075322,TRUE,element,element,,,,strong,magical,serious,caped,handsome,professional
3EKTG13IZUKXFVG6ASDEK27NH5CMLH,A1P97PT7OUQHU4,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c1/Iceman_Vol_4_1_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20180918233359,TRUE,rotaman,rotaman,helpful,,,sweet,caring,helpful,strong,fast,
