HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.prompt,Answer.emot0,Answer.emot1,Answer.emot2,Answer.not_seen.on,Answer.pers0,Answer.pers1,Answer.pers2,Answer.phys0,Answer.phys1,Answer.phys2,Answer.seen.on,Answer.type_test,Approve,Reject
301KG0KX9E2B7P3XCDP7E6G9200H21,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:15 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:15 PDT 2019,,,32XVDSJFP2EZLN12TDALUVKUF212M7,AUMM5IE22KG6I,Approved,Tue Apr 30 04:52:35 PDT 2019,Tue Apr 30 04:55:13 PDT 2019,Fri May 03 04:55:13 PDT 2019,,,,158,100% (2/2),100% (2/2),100% (2/2),https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,tinemen,furious,angry,stormy,TRUE,vengeful,charged,powerful,electric,fiery,golden,FALSE,tinemen,,
301KG0KX9E2B7P3XCDP7E6G9200H21,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:15 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:15 PDT 2019,,,3NAPMVF0ZZWG0KUFP78WBDN4KGB277,A18RH223NQXT25,Approved,Tue Apr 30 11:03:59 PDT 2019,Tue Apr 30 11:05:54 PDT 2019,Fri May 03 11:05:54 PDT 2019,,,,115,100% (2/2),100% (2/2),100% (2/2),https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,tinemen,happy,determined,knowledgeable,TRUE,strong,stern,powerful,large muscles,great abs,strong arms,FALSE,tinemen,,
301KG0KX9E2B7P3XCDP7E6G9200H21,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:15 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:15 PDT 2019,,,3YMTUJH0DVXD1W696OUL9OCKTNN4TY,A2EXVRWKVMINE8,Approved,Mon Apr 29 23:31:15 PDT 2019,Mon Apr 29 23:32:41 PDT 2019,Thu May 02 23:32:41 PDT 2019,,,,86,100% (107/107),100% (107/107),100% (107/107),https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,tinemen,Angry,overwhelmed,confused,TRUE,Power seeking,heroic,competitive,Inhuman,bright,electrifying,FALSE,tinemen,,
302OLP89D1O9VKNL304L9X2R1WNCAU,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:19 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:19 PDT 2019,,,3634BBTX0RBXQYNNWTR0ML7277MIFB,APKO12PP5J5LW,Approved,Wed May 01 03:30:20 PDT 2019,Wed May 01 03:32:25 PDT 2019,Sat May 04 03:32:25 PDT 2019,,,,125,100% (168/168),100% (168/168),100% (168/168),https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,fluming,Earnest,Edgy,Elated,TRUE,Charming,Polite,Sincere,Rough,Muscular,Slender,FALSE,fluming,,
302OLP89D1O9VKNL304L9X2R1WNCAU,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:19 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:19 PDT 2019,,,3BXQMRHWK2F85ZA4CXKR0EFMYPYUMN,A2EXVRWKVMINE8,Approved,Mon Apr 29 16:01:26 PDT 2019,Mon Apr 29 16:03:52 PDT 2019,Thu May 02 16:03:52 PDT 2019,,,,146,100% (107/107),100% (107/107),100% (107/107),https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,fluming,Brave,Fearless,Goal oriented,FALSE,Loyal,Helpful,Good,Strong,Mighty,Muscular,TRUE,fluming,,
302OLP89D1O9VKNL304L9X2R1WNCAU,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:19 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:19 PDT 2019,,,3KIBXJ1WD8BI26Q4VZV2MVVTRUROK3,A1YCPB5INBVCGW,Approved,Mon Apr 29 11:25:26 PDT 2019,Mon Apr 29 11:26:10 PDT 2019,Thu May 02 11:26:10 PDT 2019,,,,44,100% (26/26),100% (26/26),100% (26/26),https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,fluming,bossy,autoritative,protective,TRUE,brave,masuline,bossy,proud,confident,strong,FALSE,fluming,,
307FVKVSYTWOHEC83IMJG8OD8B047I,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:07 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:07 PDT 2019,,,34S9DKFK766V4QF9YZWGGEAZZ5LYNV,A2M940B6G3WN27,Approved,Mon Apr 29 21:57:50 PDT 2019,Mon Apr 29 22:01:35 PDT 2019,Thu May 02 22:01:35 PDT 2019,,,,225,100% (23/23),100% (23/23),100% (23/23),https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Miguel_Santos_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/350?cb=20180110202322,birches,Talented,Tense,Thoughtful,TRUE,Silly,Strange,Lazy,Sleepy,Smoggy,Spotless,FALSE,Uninterested,,
307FVKVSYTWOHEC83IMJG8OD8B047I,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:07 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:07 PDT 2019,,,3JJVG1YBEEEV1TGSK7MAEMCCN67B5X,AMZ59DGY7I2ZI,Approved,Mon Apr 29 12:56:22 PDT 2019,Mon Apr 29 12:58:06 PDT 2019,Thu May 02 12:58:06 PDT 2019,,,,104,100% (26/26),100% (26/26),100% (26/26),https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Miguel_Santos_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/350?cb=20180110202322,birches,fearful,awestruck,annoyed,FALSE,strong,intense,tough,poweful,muscular,male,TRUE,birches,,
307FVKVSYTWOHEC83IMJG8OD8B047I,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:07 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:07 PDT 2019,,,3M81GAB8A30KUFZQ4ZADCX73JJFBQT,A2I988BSR2YYU3,Approved,Wed May 01 04:17:46 PDT 2019,Wed May 01 04:19:52 PDT 2019,Sat May 04 04:19:52 PDT 2019,,,,126,100% (9/9),100% (9/9),100% (9/9),https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Miguel_Santos_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/350?cb=20180110202322,birches,fear,intimidation,wonder,TRUE,fearless,focused,driven,mystical,dreamy,creative,FALSE,birches,,
307FVKVSYTWOHEC83IMJG8OD8B074L,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:18 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:18 PDT 2019,,,392CY0QWG48NSIQYCCVHVHABIQZ4ID,A2EXVRWKVMINE8,Approved,Wed May 01 22:10:46 PDT 2019,Wed May 01 22:11:56 PDT 2019,Sat May 04 22:11:56 PDT 2019,,,,70,100% (107/107),100% (107/107),100% (107/107),https://vignette.wikia.nocookie.net/marveldatabase/images/a/ad/Marlene_Alraune_%28Earth-616%29_from_Moon_Knight_Vol_1_191_cover.jpg/revision/latest/scale-to-width-down/246?cb=20180131175614,trilobe,scared,worried,upset,TRUE,innocent,bystander,victim,Curvy,beautiful,human,FALSE,trilobe,,
307FVKVSYTWOHEC83IMJG8OD8B074L,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:18 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:18 PDT 2019,,,3VNXK88KKFZTBUGASEQRREBLCX69VY,A6F1QF51VP5KO,Approved,Mon Apr 29 16:19:17 PDT 2019,Mon Apr 29 16:21:16 PDT 2019,Thu May 02 16:21:16 PDT 2019,,,,119,100% (15/15),100% (15/15),100% (15/15),https://vignette.wikia.nocookie.net/marveldatabase/images/a/ad/Marlene_Alraune_%28Earth-616%29_from_Moon_Knight_Vol_1_191_cover.jpg/revision/latest/scale-to-width-down/246?cb=20180131175614,trilobe,Unbelieving,frightened,possessed,TRUE,kind,caring,loving,Fit,Flirt,Attractive,FALSE,trilobe,,
309D674SH12EEUSD9E4H48MXJE8BCO,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:06 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:06 PDT 2019,,,34PGFRQONRSVWVTO40M02A82FECJWB,APKO12PP5J5LW,Approved,Tue Apr 30 02:10:32 PDT 2019,Tue Apr 30 02:14:37 PDT 2019,Fri May 03 02:14:37 PDT 2019,,,,245,100% (168/168),100% (168/168),100% (168/168),https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,flubbed,Blase,Bold,Bothered,TRUE,Kooky,Kind,giving,smart,slender,attractive,FALSE,flubbed,,
309D674SH12EEUSD9E4H48MXJE8BCO,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:06 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:06 PDT 2019,,,3JJVG1YBEEEV1TGSK7MAEMCCNNRB5F,A2I988BSR2YYU3,Approved,Wed May 01 04:06:34 PDT 2019,Wed May 01 04:07:39 PDT 2019,Sat May 04 04:07:39 PDT 2019,,,,65,100% (9/9),100% (9/9),100% (9/9),https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,flubbed,strength,resolve,ambition,TRUE,funny,witty,smooth,smart,clever,sharp,FALSE,flubbed,,
309D674SH12EEUSD9E4H48MXJE8BCO,3WB9XW3MQYWZXO4Q8KNQNRYA6UZCKX,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.01 ,Mon Apr 29 11:10:06 PDT 2019,3,BatchId:3624719;OriginalHitTemplateId:928390877;,3600,259200,Thu May 02 11:10:06 PDT 2019,,,3LBXNTKX0UCLFJL5STR9FZ86SAE9X5,A2EXVRWKVMINE8,Approved,Mon Apr 29 22:19:29 PDT 2019,Mon Apr 29 22:20:59 PDT 2019,Thu May 02 22:20:59 PDT 2019,,,,90,100% (107/107),100% (107/107),100% (107/107),https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,flubbed,Angry,Cautious,Annoyed,TRUE,Secretive,Strong,Genius,Scrawny,Short,Nerdy,FALSE,flubbed,,
