hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
301KG0KX9E2B7P3XCDP7E6G9200H21,AUMM5IE22KG6I,https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,False,tinemen,tinemen,angry,stormy,furious,powerful,vengeful,charged,golden,fiery,electric
301KG0KX9E2B7P3XCDP7E6G9200H21,A18RH223NQXT25,https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,False,tinemen,tinemen,knowledgeable,determined,happy,stern,powerful,strong,,,
301KG0KX9E2B7P3XCDP7E6G9200H21,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/8/80/Secret_Avengers_Vol_1_27_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20120314011719,False,tinemen,tinemen,angry,overwhelmed,confused,heroic,competitive,,electrifying,bright,inhuman
302OLP89D1O9VKNL304L9X2R1WNCAU,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,False,fluming,fluming,earnest,edgy,elated,polite,sincere,charming,slender,muscular,rough
302OLP89D1O9VKNL304L9X2R1WNCAU,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,True,fluming,fluming,fearless,brave,,good,helpful,loyal,muscular,mighty,strong
302OLP89D1O9VKNL304L9X2R1WNCAU,A1YCPB5INBVCGW,https://vignette.wikia.nocookie.net/marveldatabase/images/3/30/Beta_Ray_Bill_%28Earth-616%29_from_Unworthy_Thor_Vol_1_3_002.jpg/revision/latest/scale-to-width-down/325?cb=20170109235349,False,fluming,fluming,bossy,protective,,bossy,brave,,confident,proud,strong
307FVKVSYTWOHEC83IMJG8OD8B047I,AMZ59DGY7I2ZI,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Miguel_Santos_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/350?cb=20180110202322,True,birches,birches,fearful,annoyed,awestruck,tough,intense,strong,muscular,male,
307FVKVSYTWOHEC83IMJG8OD8B047I,A2I988BSR2YYU3,https://vignette.wikia.nocookie.net/marveldatabase/images/2/2c/Miguel_Santos_%28Earth-616%29_from_Avengers_Vol_1_675_001.jpg/revision/latest/scale-to-width-down/350?cb=20180110202322,False,birches,birches,,,,fearless,focused,driven,dreamy,mystical,creative
307FVKVSYTWOHEC83IMJG8OD8B074L,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/a/ad/Marlene_Alraune_%28Earth-616%29_from_Moon_Knight_Vol_1_191_cover.jpg/revision/latest/scale-to-width-down/246?cb=20180131175614,False,trilobe,trilobe,scared,upset,worried,innocent,,,human,curvy,beautiful
307FVKVSYTWOHEC83IMJG8OD8B074L,A6F1QF51VP5KO,https://vignette.wikia.nocookie.net/marveldatabase/images/a/ad/Marlene_Alraune_%28Earth-616%29_from_Moon_Knight_Vol_1_191_cover.jpg/revision/latest/scale-to-width-down/246?cb=20180131175614,False,trilobe,trilobe,unbelieving,possessed,frightened,kind,loving,caring,fit,attractive,
309D674SH12EEUSD9E4H48MXJE8BCO,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,False,flubbed,flubbed,bold,bothered,,kooky,kind,giving,slender,smart,attractive
309D674SH12EEUSD9E4H48MXJE8BCO,A2I988BSR2YYU3,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,False,flubbed,flubbed,,,,witty,smooth,funny,sharp,smart,clever
309D674SH12EEUSD9E4H48MXJE8BCO,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/f/f8/Quintavius_Quire_%28Earth-616%29_from_West_Coast_Avengers_Vol_3_5_001.jpg/revision/latest/scale-to-width-down/330?cb=20181225165147,False,flubbed,flubbed,angry,cautious,annoyed,strong,secretive,,short,scrawny,
309D674SH12EEUSD9E4H48MXJE8CBP,A2EXVRWKVMINE8,https://vignette.wikia.nocookie.net/marveldatabase/images/6/6e/Julie_Power_%28Earth-616%29_from_Runaways_Vol_5_8_001.jpg/revision/latest/scale-to-width-down/330?cb=20180405111452,False,prepose,prepose,curious,content,thrilled,,,,human,pretty,fashionable
30EV7DWJTXCLBLCN9F5YQJSO81F6Y6,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/7/76/Frederick_Dukes_%28Earth-616%29_from_All-New_X-Men_Vol_2_5_001.jpg/revision/latest/scale-to-width-down/293?cb=20160225042614,False,myomata,myomata,bold,brave,,considerate,diplomatic,sincere,obese,overweight,stocky
