HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url,Input.prompt,Answer.emot0,Answer.emot1,Answer.emot2,Answer.not_seen.on,Answer.pers0,Answer.pers1,Answer.pers2,Answer.phys0,Answer.phys1,Answer.phys2,Answer.seen.on,Answer.type_test,Approve,Reject
302U8RURJ1ICECNA3L4VLVAGMWJVNM,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:37 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:10 PDT 2019,,,3DHE4R9OCZSZTD5GIACQHQ0XLF8G2W,A3IJNWM14T6CN7,Submitted,Tue May 07 07:02:14 PDT 2019,Tue May 07 07:02:54 PDT 2019,Fri May 10 07:02:54 PDT 2019,,,,40,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/b/be/Jimaine_Szardos_%28Earth-616%29_from_Nightcrawler_Vol_4_1_001.png/revision/latest/scale-to-width-down/350?cb=20140520005321,everest,happy,excited,positive,TRUE,helpful,strong,fearless,happy,excited,helpful,FALSE,everest,,
302U8RURJ1ICECNA3L4VLVAGMWJVNM,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:37 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:10 PDT 2019,,,3JV9LGBJWWVD0KUL58ANO330MLQGOQ,A2IZN6YFSP7YQ9,Submitted,Tue May 07 08:23:06 PDT 2019,Tue May 07 08:29:21 PDT 2019,Fri May 10 08:29:21 PDT 2019,,,,375,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/b/be/Jimaine_Szardos_%28Earth-616%29_from_Nightcrawler_Vol_4_1_001.png/revision/latest/scale-to-width-down/350?cb=20140520005321,everest,confident,secure,ambitious,TRUE,aggressive,ambitious,charismatic,beautiful,attaractive,fir,FALSE,everest,,
304QEQWKZR1E3WM613GJFRKVIABO02,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:38 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:16 PDT 2019,,,3N4BPTXIOB9DFBA1RL7BL1NIBEUKUP,A1JFWZME8NU6CO,Submitted,Mon May 06 10:52:32 PDT 2019,Mon May 06 10:56:20 PDT 2019,Thu May 09 10:56:20 PDT 2019,,,,228,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/6/60/Groot_%28Earth-616%29_from_Infinity_Countdown_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20180308012708,topazes,sad,sorrowful,melancholy,FALSE,Arrogant,Violent,"conceited,",Weird,Ugly,"grave,",FALSE,topazes,,
30UZJB2POJTOCEFLFB238JIB4RR358,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:46 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:45 PDT 2019,,,35USIKEBNUXTL653SG1OXNQ62SF6NM,A1ZJ5V4C6QVEUH,Submitted,Mon May 06 15:31:27 PDT 2019,Mon May 06 15:32:12 PDT 2019,Thu May 09 15:32:12 PDT 2019,,,,45,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/8/8b/Avengers_Vol_1_689_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20180123211112,jollier,fear,anger,awe,TRUE,mean,evil,whimsical,blue,magician,muscular,FALSE,jollier,,
30Y6N4AHYRDBZTFG57LIOT9JNM4DRT,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:38 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:20 PDT 2019,,,3PW9OPU9PT12PYFD0RRNA3WRJPL21C,A3UNY9FSBWUFRX,Submitted,Tue May 07 01:03:24 PDT 2019,Tue May 07 01:09:28 PDT 2019,Fri May 10 01:09:28 PDT 2019,,,,364,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/5/5f/Arthur_Parks_%28Earth-616%29_from_Iron_Man_Vol_5_3.jpg/revision/latest?cb=20121117020544,antapex,calculating,soulless,unemotional,FALSE,cold,fierce,persevering,electric,powerful,buff,FALSE,antapex,,
31MBOZ6PAQ8QR3EP0RTBIBI2WU3LCB,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:31 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:20 PDT 2019,,,3HL8HNGX48I4FXUKSZLN9S8ZQ7N9FP,A3S1HOO27HM4Z6,Submitted,Tue May 07 09:37:12 PDT 2019,Tue May 07 09:41:13 PDT 2019,Fri May 10 09:41:13 PDT 2019,,,,241,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/2/26/Arthur_Pendragon_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_A-Z_Update_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/242?cb=20151129013445,gitonin,powerful,robust,strong,TRUE,noble,courageous,firm,massive,tall,strong,FALSE,gitonin,,
31MBOZ6PAQ8QR3EP0RTBIBI2WU3LCB,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:31 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:20 PDT 2019,,,3KKG4CDWKLFUHHXV8IP4IOB81FP493,A3OYZK65C2G39N,Submitted,Mon May 06 21:44:56 PDT 2019,Mon May 06 21:46:34 PDT 2019,Thu May 09 21:46:34 PDT 2019,,,,98,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/2/26/Arthur_Pendragon_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_A-Z_Update_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/242?cb=20151129013445,gitonin,angry,bewildered,inquisitive,TRUE,tough,ruler,non bending,brawny,solid,kingly,FALSE,gitonin,,
31ODACBENWWHPHJYPIR7E2LES3CQSZ,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:37 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:08 PDT 2019,,,3HOSI13XH25JK3T5D9VZ7OO45DCDDL,A3UNY9FSBWUFRX,Submitted,Tue May 07 00:52:16 PDT 2019,Tue May 07 01:03:23 PDT 2019,Fri May 10 01:03:23 PDT 2019,,,,667,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/8/8c/Joshua_Foley_%28Earth-616%29_from_Uncanny_X-Men_Vol_4_19_001.jpg/revision/latest/scale-to-width-down/235?cb=20170317013958,epiural,able,rebellious,centered,TRUE,vigilant,watchful,brave,lean,muscular,attractive,FALSE,epiural,,
31ODACBENWWHPHJYPIR7E2LES3CQSZ,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:37 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:08 PDT 2019,,,3JV9LGBJWWVD0KUL58ANO330MJNOGR,APKO12PP5J5LW,Submitted,Mon May 06 22:18:02 PDT 2019,Mon May 06 22:19:07 PDT 2019,Thu May 09 22:19:07 PDT 2019,,,,65,100% (168/168),100% (168/168),100% (168/168),https://vignette.wikia.nocookie.net/marveldatabase/images/8/8c/Joshua_Foley_%28Earth-616%29_from_Uncanny_X-Men_Vol_4_19_001.jpg/revision/latest/scale-to-width-down/235?cb=20170317013958,epiural,amazed,attractive,animated,TRUE,Versatile,Intuitive,Adaptable,Handsome,Fit,Big-boned,FALSE,epiural,,
31S7M7DAGI77DKG0MDO17LI6KG3TL2,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:41 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:35 PDT 2019,,,336YQZE83YVRKKKPBWCJS2N614L5MQ,A3EA602N6JSZ5W,Submitted,Mon May 06 12:50:46 PDT 2019,Mon May 06 12:53:46 PDT 2019,Thu May 09 12:53:46 PDT 2019,,,,180,100% (3/3),100% (3/3),100% (3/3),https://vignette.wikia.nocookie.net/marveldatabase/images/8/8b/Marvel_Boy_The_Uranian_Vol_1_2_Textless.jpg/revision/latest/scale-to-width-down/349?cb=20100218173710,ironing,attractive,fearful,challenging,TRUE,holy,reliable,moral,frierce,strong,fast,FALSE,ironing,,
334ZEL5JX8WE456IA5Z3PXQED2USOT,3WROYBU7BO9RJIYGG313JE3KML4DCN,List words that describe a character,List adjectives that describe a comic book character from an image,"image, tag, picture, tagging, photo, different, comic, character, describe, adjective",$0.02 ,Mon May 06 10:44:30 PDT 2019,3,BatchId:3632512;OriginalHitTemplateId:928390877;,3600,259200,Tue May 07 09:43:15 PDT 2019,,,3TOK3KHVJWZU7RJKC56TIQQ7NACO7K,A1OZMT7ZSRH9BC,Submitted,Mon May 06 13:06:29 PDT 2019,Mon May 06 13:09:37 PDT 2019,Thu May 09 13:09:37 PDT 2019,,,,188,0% (0/0),0% (0/0),0% (0/0),https://vignette.wikia.nocookie.net/marveldatabase/images/3/36/Billy_Russo_%28Earth-616%29_from_Punisher_Vol_8_9_001.jpg/revision/latest/scale-to-width-down/314?cb=20160425134716,spasmic,intimidating,scared,angry,TRUE,determined,strong,demanding,tall,asymmetrical,muscular,FALSE,spasmic,,
