hit_id,worker_id,image_url,seen,prompt,type_test,emot0,emot1,emot2,pers0,pers1,pers2,phys0,phys1,phys2
302U8RURJ1ICECNA3L4VLVAGMWJVNM,A3IJNWM14T6CN7,https://vignette.wikia.nocookie.net/marveldatabase/images/b/be/Jimaine_Szardos_%28Earth-616%29_from_Nightcrawler_Vol_4_1_001.png/revision/latest/scale-to-width-down/350?cb=20140520005321,False,everest,everest,happy,positive,excited,strong,fearless,helpful,happy,helpful,excited
302U8RURJ1ICECNA3L4VLVAGMWJVNM,A2IZN6YFSP7YQ9,https://vignette.wikia.nocookie.net/marveldatabase/images/b/be/Jimaine_Szardos_%28Earth-616%29_from_Nightcrawler_Vol_4_1_001.png/revision/latest/scale-to-width-down/350?cb=20140520005321,False,everest,everest,confident,ambitious,secure,charismatic,aggressive,ambitious,beautiful,,
304QEQWKZR1E3WM613GJFRKVIABO02,A1JFWZME8NU6CO,https://vignette.wikia.nocookie.net/marveldatabase/images/6/60/Groot_%28Earth-616%29_from_Infinity_Countdown_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20180308012708,False,topazes,topazes,melancholy,sad,sorrowful,violent,arrogant,,ugly,weird,
30UZJB2POJTOCEFLFB238JIB4RR358,A1ZJ5V4C6QVEUH,https://vignette.wikia.nocookie.net/marveldatabase/images/8/8b/Avengers_Vol_1_689_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20180123211112,False,jollier,jollier,,,,evil,mean,whimsical,muscular,blue,
30Y6N4AHYRDBZTFG57LIOT9JNM4DRT,A3UNY9FSBWUFRX,https://vignette.wikia.nocookie.net/marveldatabase/images/5/5f/Arthur_Parks_%28Earth-616%29_from_Iron_Man_Vol_5_3.jpg/revision/latest?cb=20121117020544,False,antapex,antapex,calculating,unemotional,soulless,persevering,fierce,cold,buff,electric,powerful
31MBOZ6PAQ8QR3EP0RTBIBI2WU3LCB,A3S1HOO27HM4Z6,https://vignette.wikia.nocookie.net/marveldatabase/images/2/26/Arthur_Pendragon_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_A-Z_Update_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/242?cb=20151129013445,False,gitonin,gitonin,strong,robust,powerful,courageous,noble,firm,massive,strong,tall
31MBOZ6PAQ8QR3EP0RTBIBI2WU3LCB,A3OYZK65C2G39N,https://vignette.wikia.nocookie.net/marveldatabase/images/2/26/Arthur_Pendragon_%28Earth-616%29_from_Official_Handbook_of_the_Marvel_Universe_A-Z_Update_Vol_1_3_001.jpg/revision/latest/scale-to-width-down/242?cb=20151129013445,False,gitonin,gitonin,bewildered,angry,inquisitive,tough,,,solid,kingly,brawny
31ODACBENWWHPHJYPIR7E2LES3CQSZ,A3UNY9FSBWUFRX,https://vignette.wikia.nocookie.net/marveldatabase/images/8/8c/Joshua_Foley_%28Earth-616%29_from_Uncanny_X-Men_Vol_4_19_001.jpg/revision/latest/scale-to-width-down/235?cb=20170317013958,False,epiural,epiural,centered,rebellious,able,watchful,brave,vigilant,muscular,attractive,lean
31ODACBENWWHPHJYPIR7E2LES3CQSZ,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/8/8c/Joshua_Foley_%28Earth-616%29_from_Uncanny_X-Men_Vol_4_19_001.jpg/revision/latest/scale-to-width-down/235?cb=20170317013958,False,epiural,epiural,amazed,animated,attractive,versatile,intuitive,adaptable,fit,handsome,
31S7M7DAGI77DKG0MDO17LI6KG3TL2,A3EA602N6JSZ5W,https://vignette.wikia.nocookie.net/marveldatabase/images/8/8b/Marvel_Boy_The_Uranian_Vol_1_2_Textless.jpg/revision/latest/scale-to-width-down/349?cb=20100218173710,False,ironing,ironing,fearful,challenging,attractive,holy,moral,reliable,strong,fast,
334ZEL5JX8WE456IA5Z3PXQED2USOT,A1OZMT7ZSRH9BC,https://vignette.wikia.nocookie.net/marveldatabase/images/3/36/Billy_Russo_%28Earth-616%29_from_Punisher_Vol_8_9_001.jpg/revision/latest/scale-to-width-down/314?cb=20160425134716,False,spasmic,spasmic,intimidating,angry,scared,demanding,strong,determined,tall,muscular,asymmetrical
334ZEL5JX8WE456IA5Z3PXQED2USOT,A1ZNO22R0CI05Q,https://vignette.wikia.nocookie.net/marveldatabase/images/3/36/Billy_Russo_%28Earth-616%29_from_Punisher_Vol_8_9_001.jpg/revision/latest/scale-to-width-down/314?cb=20160425134716,False,spasmic,spasmic,angry,spiteful,determined,vengeful,resentful,unforgiving,frightening,alarming,dark
335HHSX8CFMYAZ1D929OAP7D0D6DHW,A2D70C0LG6MJH9,https://vignette.wikia.nocookie.net/marveldatabase/images/9/94/James_Braddock_Jr._%28Earth-616%29_from_Infinity_Countdown_Black_Widow_Vol_1_1_003.jpg/revision/latest/scale-to-width-down/274?cb=20180708041410,False,phenols,phenols,passionate,observant,,confident,daring,vicious,muscular,toned,athletic
335HHSX8CFMYAZ1D929OAP7D0D6DHW,A2CUFLOIO8ZAW4,https://vignette.wikia.nocookie.net/marveldatabase/images/9/94/James_Braddock_Jr._%28Earth-616%29_from_Infinity_Countdown_Black_Widow_Vol_1_1_003.jpg/revision/latest/scale-to-width-down/274?cb=20180708041410,True,phenols,phenols,honest,funny,sad,goofy,unfocused,fun,human,,
336OE47KI41216WOVMVIHEN7F8NVWD,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/7/72/Laynia_Petrovna_%28Earth-616%29_from_Avengers_Vol_8_10_002.jpg/revision/latest/scale-to-width-down/345?cb=20190201235133,False,channel,channel,fatigued,irritable,humbled,boastful,adventurous,annoying,tall,fit,large
336OE47KI41216WOVMVIHEN7F8NVWD,A2CUFLOIO8ZAW4,https://vignette.wikia.nocookie.net/marveldatabase/images/7/72/Laynia_Petrovna_%28Earth-616%29_from_Avengers_Vol_8_10_002.jpg/revision/latest/scale-to-width-down/345?cb=20190201235133,False,channel,channel,angry,focused,intense,honest,dramatic,intense,human,flying,energetic
33BFF6QPI3SIPXU5BCPCYJVOOOUW3H,A2CUFLOIO8ZAW4,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4e/Victor_Mancha_%28Earth-616%29_from_Runaways_Vol_5_4_001.jpg/revision/latest/scale-to-width-down/329?cb=20171217112031,False,subfief,subfief,depressed,sad,unattached,flat,sad,unemotional,male,head,
33BFF6QPI3SIPXU5BCPCYJVOOOUW3H,A3TEVNU2YYO1VH,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4e/Victor_Mancha_%28Earth-616%29_from_Runaways_Vol_5_4_001.jpg/revision/latest/scale-to-width-down/329?cb=20171217112031,False,subfief,subfief,lonely,sad,peaceful,worried,sad,asleep,white,,
33BFF6QPI3SIPXU5BCPCYJVOOOUW3H,ARA1SVR85THFP,https://vignette.wikia.nocookie.net/marveldatabase/images/4/4e/Victor_Mancha_%28Earth-616%29_from_Runaways_Vol_5_4_001.jpg/revision/latest/scale-to-width-down/329?cb=20171217112031,False,subfief,subfief,curious,,,crazy,hopeful,determined,,,
33CLA8O0MKS8XDTCWDG8CTC4ZZKFR6,A35PG6HAKKTRV2,https://vignette.wikia.nocookie.net/marveldatabase/images/2/24/New_Warriors_Vol_4_10_Textless.jpg/revision/latest?cb=20120317213635,False,prussin,prussin,fearful,cowardly,nervous,vengeful,violent,short-tempered,violent,angry,determined
33CLA8O0MKS8XDTCWDG8CTC4ZZKFR6,A3S1HOO27HM4Z6,https://vignette.wikia.nocookie.net/marveldatabase/images/2/24/New_Warriors_Vol_4_10_Textless.jpg/revision/latest?cb=20120317213635,False,prussin,prussin,revengeful,power,,mean,strong-willed,angry,tough,strong,powerful
33EEIIWHK9OXH902JDWCPP5LR76QV4,AG0DR7A5Y1976,https://vignette.wikia.nocookie.net/marveldatabase/images/9/94/Victoria_Hand_%28Earth-616%29_from_Marvel_War_of_Heroes_001.jpg/revision/latest/scale-to-width-down/280?cb=20160408015927,True,uneager,uneager,eager,angry,emotional,fiery,direct,determined,sexy,fierce,dark
33EEIIWHK9OXH902JDWCPP5LR76VQ9,APKO12PP5J5LW,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c9/Thor_Vol_2_47_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20071017152614,False,effects,effects,grouchy,hopeful,ill-tempered,courteous,diligent,courageous,unique,alert,fashionable
33EEIIWHK9OXH902JDWCPP5LR76VQ9,A8TASBST8Y826,https://vignette.wikia.nocookie.net/marveldatabase/images/c/c9/Thor_Vol_2_47_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20071017152614,False,effects,effects,lazy,unsure,distrustful,evil,relaxed,,confident,strong,mysterious
