image_url,prompt
https://vignette.wikia.nocookie.net/marveldatabase/images/e/e2/Phillip_Masters_%28Earth-616%29_from_Heroes_for_Hire_Vol_3_1_001.png/revision/latest/scale-to-width-down/350?cb=20130702032835,oceanus
https://vignette.wikia.nocookie.net/marveldatabase/images/8/8c/Joshua_Foley_%28Earth-616%29_from_Uncanny_X-Men_Vol_4_19_001.jpg/revision/latest/scale-to-width-down/235?cb=20170317013958,epiural
https://vignette.wikia.nocookie.net/marveldatabase/images/4/44/Secret_Empire_Vol_1_7_Villain_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20170418160718,gangava
https://vignette.wikia.nocookie.net/marveldatabase/images/6/65/Eternity_%28Earth-616%29_from_Ultimates_Vol_2_4_001.jpg/revision/latest/scale-to-width-down/325?cb=20160930194237,exposes
https://vignette.wikia.nocookie.net/marveldatabase/images/b/b4/William_Foster_%28Earth-616%29_from_Cable_%26_Deadpool_Vol_1_31_001.jpg/revision/latest/scale-to-width-down/253?cb=20180131181814,duppies
https://vignette.wikia.nocookie.net/marveldatabase/images/6/6e/Shang-Chi_Master_of_Kung_Fu_Vol_1_3_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20120614064351,ketubah
https://vignette.wikia.nocookie.net/marveldatabase/images/1/17/Chase_Stein_%28Earth-616%29_from_Runaways_Vol_5_1_Lim_Variant_cover.jpg/revision/latest/scale-to-width-down/338?cb=20171109190616,boronic
https://vignette.wikia.nocookie.net/marveldatabase/images/b/bf/Howard_Hanover_%28Earth-616%29_from_Millie_the_Model_Comics_Vol_1_14_0001.jpg/revision/latest?cb=20130605222358,barabra
https://vignette.wikia.nocookie.net/marveldatabase/images/f/fb/Louise_Mason_%28Earth-616%29.png/revision/latest/scale-to-width-down/238?cb=20100108222856,snouter
https://vignette.wikia.nocookie.net/marveldatabase/images/7/72/Grand_Vizier_%28Asgard%29_%28Earth-616%29_from_Thor_Vol_1_400_0001.jpg/revision/latest/scale-to-width-down/350?cb=20140205170038,cyclops
https://vignette.wikia.nocookie.net/marveldatabase/images/a/a4/Pyreus_Kril_%28Earth-616%29_from_Annihilation_Heralds_of_Galactus_Vol_1_2_001.jpg/revision/latest/scale-to-width-down/325?cb=20170704084250,dextrer
https://vignette.wikia.nocookie.net/marveldatabase/images/6/6e/Acroyear_%28Earth-616%29_from_Micronauts_Vol_1_46_0001.jpg/revision/latest/scale-to-width-down/261?cb=20160607050212,mehrdad
https://vignette.wikia.nocookie.net/marveldatabase/images/6/61/Death_of_Wolverine_The_Logan_Legacy_Vol_1_4_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20140819215859,alkylic
https://vignette.wikia.nocookie.net/marveldatabase/images/d/d3/Steven_Rogers_%28Earth-616%29%2C_Isaiah_Bradley_%28Earth-616%29_and_Elijah_Bradley_%28Earth-616%29_01.jpg/revision/latest/scale-to-width-down/350?cb=20140601030537,cliency
https://vignette.wikia.nocookie.net/marveldatabase/images/2/2a/Frankie_Raye_%28Earth-616%29_from_Fearless_Defenders_Vol_1_12_001.jpg/revision/latest/scale-to-width-down/350?cb=20131205002143,neatify
https://vignette.wikia.nocookie.net/marveldatabase/images/b/be/Jimaine_Szardos_%28Earth-616%29_from_Nightcrawler_Vol_4_1_001.png/revision/latest/scale-to-width-down/350?cb=20140520005321,everest
https://vignette.wikia.nocookie.net/marveldatabase/images/4/40/Bethany_Cabe_%28Earth-616%29_from_Tony_Stark_Iron_Man_Vol_1_2_001.jpg/revision/latest/scale-to-width-down/188?cb=20180724011350,dickeys
https://vignette.wikia.nocookie.net/marveldatabase/images/f/f3/Phillip_Urich_%28Earth-616%29_from_Amazing_Spider-Man_Vol_3_17.1_001.png/revision/latest?cb=20150421012451,apriori
https://vignette.wikia.nocookie.net/marveldatabase/images/3/39/Delroy_Garrett_Jr._%28Earth-616%29_from_Avengers_World_Vol_1_15_0001.png/revision/latest/scale-to-width-down/297?cb=20141120041434,eurasia
